row_id,production_time,production_day,actual_target,Толщина (СЗ),Заданный план охлаждения (PM),Ширина (СЗ),Агрегат_бригада_резки,"Скорость смотки, макс","Скорость смотки, сред",f_ulo_family_6,Назначение многозначное (СЗ),Покупатель (СЗ),Плановая неделя отгрузки (СЗ),Химия | Mn,Химия | C,"Тсм_Зеленая, макс",Химия | B,Вид кромки (СЗ),f_pm_family_6,Химия | Si,Наимен. конеч. потребителя (СЗ),Химия | Ceq1,Химия | Cr,Заправочная скорость смотки,Марка (СЗ),Код УЛО новый (ПЗ),"Общее время нагрева в печи_Зеленая, мин","Номер моталки_Зеленая, мин","Тсм_Зеленая, мин","Ткп_Зеленая, макс","Скорость после чистовой группы_Зеленая, мин","Номер моталки_Зеленая, макс",Плоскостность (Сб.зак.),"mean_yest_Тсм_Зеленая, мин",Химия | W,Химия | S,"mean_yest_Скорость смотки, макс",Марка,"mean_yest_Скорость после чистовой группы_Зеленая, мин",Химия | N,Химия | Ti,Химия | Sn,Химия | Al,f_speed_thread_gap,Семья,Химия | Sb,mean_yest_СКН | лпц-2. ткп (несоответствие заданным границам в асут). ручные вмешательства,Химия | Nb,Химия | P,Химия | Zr,"Время нахождения сляба в печах, зоны 3-8_Зеленая, макс","Скорость после чистовой группы_Зеленая, макс",Химия | Pb,Величина плоскостности (СЗ),Химия | V,"Время нахождения сляба в печах, зоны 3-8_Зеленая, мин",mean_yest_СКН | лпц-2. т5 (несоответствие заданным границам в асут),Величина плоскостности (СЗ)__unified,"mean_yest_Скорость смотки, сред",mean_yest_Заправочная скорость смотки,mean_yest_СКН | лпц-2. общее время нагрева в печи (несоответствие заданному параметру в асут),Химия | Ni,Код плательщика,mean_yest_СКН | лпц-2. ткп (несоответствие заданным границам в асут). без ручных вмешательств,Код грузополучателя (СЗ),"Наработка валков верт. кл. 5, т",Химия | Ca,Конечный потребитель (СЗ),f_ulo_missing,mean_yest_СКН | лпц-2. весь сортамент. расход воды на охлаждение рв клеть 6,mean_yest_СКН | лпц-2. дельта т5,mean_yest_СКН | лпц-2. не проведён осмотр пов-ти контрольных рулонов sherlock,mean_yest_СКН | лпц-2. скн по невязанным с м4,mean_yest_СКН | лпц-2. скн по невязанным с м5,mean_yest_СКН | лпц-2. стан 2000. кол-во упаковочных лент,mean_yest_СКН | лпц-2. тсм (несоответствие заданным границам в асут). без ручных вмешательств,"mean_yest_Общее время нагрева в печи_Зеленая, мин","mean_yest_Ткп_Зеленая, мин",mean_yest_МСО | лпц-2. стан-2000. моталка №4. м4_рвм,ind_speed_vol_20
DEMO_PRODUCT_000001,2026-01-01 01:03:04,2026-01-01,0,12.596372,DEMO_CATEGORY_06,1437.666930,,29.771350,37.456491,DEMO_CATEGORY_07,DEMO_CATEGORY_01,DEMO_CATEGORY_04,-13.781524,0.351708,0.071875,471.281370,0.156806,DEMO_CATEGORY_02,DEMO_CATEGORY_02,0.941298,DEMO_CATEGORY_07,0.521815,0.449941,26.966816,DEMO_CATEGORY_08,DEMO_CATEGORY_07,4.814138,53.000000,901.807634,515.842207,29.499253,19.000000,DEMO_CATEGORY_04,869.591448,0.250475,0.532415,26.841049,DEMO_CATEGORY_08,33.519356,0.356889,0.173685,0.020420,0.183032,1.865652,DEMO_CATEGORY_02,0.175224,831.420428,0.487955,0.614878,0.508858,3.498675,28.615011,,DEMO_CATEGORY_02,0.146217,,10.690123,DEMO_CATEGORY_07,30.556803,28.874899,4.569850,0.884002,34.000000,545.818253,33.000000,1513.673090,0.084679,37.000000,5.737134,13.815741,2.232673,10.843315,4.648827,-8.971264,-6.440610,691.688869,126.121896,657.332617,16.445656,-25.466630
DEMO_PRODUCT_000002,2026-01-01 01:31:53,2026-01-01,0,12.847381,DEMO_CATEGORY_02,966.401185,3.680867,29.066718,23.216980,DEMO_CATEGORY_08,DEMO_CATEGORY_01,DEMO_CATEGORY_08,-25.493768,0.185347,0.049142,963.498377,0.406890,DEMO_CATEGORY_02,DEMO_CATEGORY_01,0.216415,DEMO_CATEGORY_03,0.552407,0.077527,17.568356,DEMO_CATEGORY_01,DEMO_CATEGORY_06,47.453475,9.000000,464.663595,574.043811,21.339723,16.000000,DEMO_CATEGORY_06,468.782080,0.241861,0.137010,27.409483,DEMO_CATEGORY_08,20.407355,0.467216,1.464799,0.417543,0.376773,-5.246266,DEMO_CATEGORY_06,0.434774,764.537491,0.528374,0.439624,1.118189,228.660889,18.631408,1.760874,DEMO_CATEGORY_02,0.017138,257.293620,-10.563155,DEMO_CATEGORY_01,20.853596,24.167744,55.783197,0.590663,37.000000,903.353456,54.000000,4759.830321,0.437654,88.000000,-3.046895,8.846387,0.072450,1.095278,-2.029107,0.975869,4.022452,737.094022,236.932229,743.439548,-14.280218,0.337716
DEMO_PRODUCT_000003,2026-01-01 01:37:48,2026-01-01,0,3.566516,DEMO_CATEGORY_01,,-17.023906,10.600053,24.470318,DEMO_CATEGORY_07,DEMO_CATEGORY_02,DEMO_CATEGORY_07,9.212319,0.035961,0.690730,668.340043,0.441932,DEMO_CATEGORY_01,DEMO_CATEGORY_01,0.055388,DEMO_CATEGORY_04,0.194765,0.050413,18.492706,DEMO_CATEGORY_08,DEMO_CATEGORY_04,80.526660,81.000000,893.358644,730.243752,25.825647,16.000000,DEMO_CATEGORY_07,696.232187,0.427133,0.651300,17.842276,DEMO_CATEGORY_02,28.648124,0.136209,0.165401,0.816591,0.075576,-11.163592,DEMO_CATEGORY_01,1.072607,685.246543,0.350402,0.668939,0.408893,,35.889686,0.494501,DEMO_CATEGORY_05,0.854209,29.380560,7.169077,DEMO_CATEGORY_03,1.545107,38.702388,65.371945,,98.000000,786.207501,77.000000,2470.616511,0.222063,49.000000,6.144704,-5.099198,-4.110416,-7.231485,-4.638013,-7.319565,2.215116,609.432562,252.766353,540.754239,-14.332225,-11.389865
DEMO_PRODUCT_000004,2026-01-01 01:49:56,2026-01-01,0,14.177269,DEMO_CATEGORY_07,1019.000359,4.972874,14.201869,20.672056,DEMO_CATEGORY_02,DEMO_CATEGORY_07,DEMO_CATEGORY_06,-10.829820,0.219201,0.677126,507.513446,0.151628,DEMO_CATEGORY_05,DEMO_CATEGORY_04,0.631841,DEMO_CATEGORY_06,0.344057,1.298811,0.092508,DEMO_CATEGORY_03,DEMO_CATEGORY_07,267.519291,47.000000,856.613402,469.101580,,4.000000,DEMO_CATEGORY_05,737.667899,0.680213,1.000315,16.312129,DEMO_CATEGORY_04,8.387237,0.222522,0.504707,0.576920,0.042337,17.053040,DEMO_CATEGORY_03,0.329836,675.602266,0.336416,0.263775,0.315886,67.811983,7.182267,0.085232,DEMO_CATEGORY_04,0.383318,222.724204,,DEMO_CATEGORY_04,20.289939,21.514354,47.608321,0.459548,35.000000,671.612149,,3053.157178,0.362730,38.000000,-13.974463,7.972928,3.804361,-3.972394,16.997456,10.757105,-14.405327,475.688237,226.535673,886.122787,8.500595,1.547031
DEMO_PRODUCT_000005,2026-01-01 02:03:45,2026-01-01,1,13.820257,DEMO_CATEGORY_07,885.341667,-8.194290,38.290420,22.179859,DEMO_CATEGORY_02,DEMO_CATEGORY_04,DEMO_CATEGORY_06,-6.099904,0.026322,0.132531,869.007359,0.016744,DEMO_CATEGORY_04,DEMO_CATEGORY_08,0.702136,DEMO_CATEGORY_02,0.757294,0.130256,21.365409,DEMO_CATEGORY_01,DEMO_CATEGORY_03,98.213693,,811.035511,525.526424,7.635197,1.000000,DEMO_CATEGORY_05,845.350634,0.137863,0.090453,25.770531,DEMO_CATEGORY_08,4.207388,0.541028,0.191880,0.517277,0.205261,,DEMO_CATEGORY_08,0.645509,607.153851,0.505500,0.252438,0.239281,103.233322,17.210248,0.105490,DEMO_CATEGORY_05,0.317808,208.975412,0.685777,DEMO_CATEGORY_01,23.782343,3.746947,50.909184,1.024614,38.000000,524.623987,22.000000,140.150261,0.205126,79.000000,,9.474519,-4.573361,-20.946520,-10.979256,-12.355844,-12.817304,744.161572,65.782268,1023.663364,-11.692922,16.632994
DEMO_PRODUCT_000006,2026-01-01 02:08:31,2026-01-01,0,13.969174,DEMO_CATEGORY_01,1498.134967,12.796880,4.173212,26.707017,DEMO_CATEGORY_02,DEMO_CATEGORY_01,DEMO_CATEGORY_08,-21.832355,0.154435,0.038458,898.287989,0.131833,DEMO_CATEGORY_06,DEMO_CATEGORY_08,0.520504,DEMO_CATEGORY_03,0.501259,0.201580,12.089658,DEMO_CATEGORY_04,DEMO_CATEGORY_08,215.109944,23.000000,,531.580679,37.711772,,DEMO_CATEGORY_01,798.188270,0.187662,1.111634,37.782182,DEMO_CATEGORY_05,11.968332,0.299427,0.232953,0.179663,0.424357,-0.491165,DEMO_CATEGORY_03,1.115488,494.861072,0.288643,0.132798,0.355705,229.956893,35.139564,0.137933,DEMO_CATEGORY_06,0.560755,177.059560,-7.747079,DEMO_CATEGORY_05,16.194888,13.445648,187.592784,0.161415,10.000000,763.102285,27.000000,2932.331542,0.938421,40.000000,-10.923077,9.301647,5.378088,-5.775199,14.363198,-13.427292,-2.269984,658.830301,53.496086,535.627897,-8.499342,-3.430301
DEMO_PRODUCT_000007,2026-01-01 02:12:40,2026-01-01,0,2.407341,DEMO_CATEGORY_01,1717.522830,-3.519644,7.325883,26.201410,DEMO_CATEGORY_08,DEMO_CATEGORY_06,DEMO_CATEGORY_03,10.229127,0.250521,0.244036,492.605819,0.587332,DEMO_CATEGORY_02,DEMO_CATEGORY_07,0.742093,DEMO_CATEGORY_06,0.282399,0.169584,9.074420,DEMO_CATEGORY_03,DEMO_CATEGORY_08,284.016845,2.000000,767.390841,970.934595,14.110715,89.000000,DEMO_CATEGORY_05,903.325989,0.174614,0.081059,23.782501,DEMO_CATEGORY_05,6.395966,0.451811,0.753417,0.049724,0.244753,10.552567,DEMO_CATEGORY_06,0.729081,496.306021,0.306051,0.045740,0.070155,152.500777,27.557999,0.502857,DEMO_CATEGORY_05,0.610012,156.453714,-1.697277,DEMO_CATEGORY_05,14.823820,7.641088,145.358906,0.811101,87.000000,,11.000000,1700.199627,0.044687,34.000000,13.279461,13.046037,-1.494118,3.227503,1.461758,3.447548,-2.797628,516.368160,222.027876,668.797013,-11.319283,13.990597
DEMO_PRODUCT_000008,2026-01-01 02:15:36,2026-01-01,0,9.489938,DEMO_CATEGORY_05,1995.806229,-11.236223,17.201535,8.565884,DEMO_CATEGORY_03,DEMO_CATEGORY_05,DEMO_CATEGORY_03,3.503382,0.455344,0.453026,662.352393,0.289330,DEMO_CATEGORY_05,DEMO_CATEGORY_08,0.330323,DEMO_CATEGORY_01,0.054156,0.023847,4.316453,DEMO_CATEGORY_07,DEMO_CATEGORY_05,157.890667,32.000000,792.244936,678.882983,13.937958,10.000000,DEMO_CATEGORY_02,775.640493,0.357633,0.030264,34.334108,DEMO_CATEGORY_03,4.155957,0.186589,0.128627,1.466536,0.315453,1.840417,DEMO_CATEGORY_01,0.662759,984.515801,0.480445,0.337089,0.105837,182.847234,1.645601,0.853789,DEMO_CATEGORY_02,0.154889,215.768100,-6.157945,DEMO_CATEGORY_02,0.117199,21.949281,100.586073,0.581402,83.000000,589.860683,64.000000,933.706077,0.028908,9.000000,12.145105,-10.510998,-8.223923,-1.380935,,-3.818458,-9.223202,563.787721,71.818581,887.431614,3.746971,0.860238
DEMO_PRODUCT_000009,2026-01-01 02:20:00,2026-01-01,0,8.771668,DEMO_CATEGORY_01,1895.969776,0.758046,11.283956,23.297606,DEMO_CATEGORY_03,DEMO_CATEGORY_02,DEMO_CATEGORY_06,3.101945,0.817228,0.503494,987.288293,0.385625,DEMO_CATEGORY_02,DEMO_CATEGORY_07,0.954262,DEMO_CATEGORY_04,0.091764,0.831991,24.537384,,DEMO_CATEGORY_08,251.812912,18.000000,760.669069,966.919924,8.986173,81.000000,DEMO_CATEGORY_04,829.428345,0.168129,0.198915,8.951236,DEMO_CATEGORY_02,,0.072353,0.158391,0.353258,0.028581,-3.954839,DEMO_CATEGORY_03,0.818284,,0.427869,0.110598,0.776177,8.522112,21.877473,0.408882,DEMO_CATEGORY_04,0.207266,147.943059,13.255351,DEMO_CATEGORY_06,4.028198,11.504638,130.534293,0.050387,84.000000,833.703372,76.000000,3675.211441,0.388884,52.000000,2.515313,,,-0.507748,0.765021,-7.158173,18.221151,538.888300,216.057311,532.407313,-3.236655,0.835956
DEMO_PRODUCT_000010,2026-01-01 03:04:29,2026-01-01,0,2.647518,DEMO_CATEGORY_06,2000.136718,-9.162350,25.960342,14.185058,DEMO_CATEGORY_08,DEMO_CATEGORY_05,DEMO_CATEGORY_02,3.034551,0.148365,0.099994,851.662782,0.251043,DEMO_CATEGORY_08,DEMO_CATEGORY_06,0.342188,DEMO_CATEGORY_05,0.631366,0.295635,34.234956,DEMO_CATEGORY_06,DEMO_CATEGORY_06,124.706907,57.000000,896.668702,669.602785,14.167516,30.000000,DEMO_CATEGORY_03,453.040970,0.351899,0.042824,3.340397,DEMO_CATEGORY_01,7.402056,0.620048,,0.146590,0.570936,-14.922554,DEMO_CATEGORY_03,0.280955,677.515828,0.861916,0.530061,0.676772,262.241563,0.692896,,DEMO_CATEGORY_06,0.295499,109.501180,0.864968,DEMO_CATEGORY_02,37.991601,11.065735,75.449200,0.085808,77.000000,485.108272,54.000000,2672.093199,0.021443,35.000000,-6.237418,-0.145667,8.604675,3.945935,-7.948282,0.943770,-6.140264,702.783585,98.752027,830.158447,-5.460735,-9.117643
